french,english
Je vous en prie,You're welcome
Bonjour,Good morning
Bonsoir,Good evening
Bonne journée,Have a nice day
Au revoir,Goodbye
Merci,Thank you
Merci beaucoup,Thank you very much
S'il vous plaît,Please
Comment ça va ?,How are you?
Ça va ,I'm fine
Comment allez-vous ?,How are you?
Comment vous appelez-vous ?,What is your name?
Je m'appelle...,My name is...
Oui,Yes
Non,No
De rien,You're welcome
Excusez-moi,Excuse me
Je suis désolé(e),I am sorry
Je ne comprends pas,I don’t understand
Parlez-vous anglais ?,Do you speak English?
Deux,Two
Trois,Three
Quatre,Four
Cinq,Five
Six,Six
Sept,Seven
Huit,Eight
Neuf,Nine
Dix,Ten
Un,One
Qu'est-ce que c'est ?,What is it?
Où ?,Where?
Quand ?,When?
Pourquoi ?,Why?
Comment ?,How?
Quelle heure est-il ?,What time is it?
Est-ce que...?,Is it...?
L'homme,Man
La femme,Woman
Le garçon,Boy
La fille,Girl
L'ami,Friend male
L'amie,Friend female
Le médecin,Doctor
L'enseignant,Teacher male
L'enseignante,Teacher female
L'ingénieur,Engineer
Le cuisinier,Cook male
La cuisinière,Cook female
Le pain,Bread
Le fromage,Cheese
Le vin,Wine
L'eau,Water
La viande,Meat
Les légumes,Vegetables
Les fruits,Fruits
Le café,Coffee
Le thé,Tea
La maison,House
La chambre,Bedroom
La cuisine,Kitchen
Le salon,Living room
La salle de bain,Bathroom
La table,Table
La chaise,Chair
Le lit,Bed
La voiture,Car
Le bus,Bus
Le train,Train
L'avion,Plane
Le vélo,Bicycle
Le bateau,Boat
La ville,City
Le village,Village
La rue,Street
Le restaurant,Restaurant
Le café,Cafe
L'école,School
Le magasin,Shop
La plage,Beach
Grand(e),Big
Petit(e),Small
Bon(ne),Good
Mauvais(e),Bad
Beau/Belle,Beautiful
Nouveau/Nouvelle,New
Vieux/Vieille,Old
Le chien,Dog
L'oiseau,Bird
Le poisson,Fish
L'arbre,Tree
La fleur,Flower
La mer,Sea
La montagne,Mountain
Le soleil,Sun
La lune,Moon
La terre,Earth
Qui?,Who?

Quoi?,What?

Où?,Where?

Quand?,When?

Pourquoi?,Why?
Comment?,How?
Combien?,How much/How many?
Est-ce que?,Is it…?
Lundi ,Monday
Mardi,Tuesday
Mercredi,Wednesday
Jeudi,Thursday
Vendredi,Friday
Samedi,Saturday
Dimanche,Sunday
